question,location_slug,location_text,time_kind,time_start,time_end,activity_id,group
Mùa nào ở Phú Quốc ít mưa nhất?,phu-quoc,,best_time,,,,basic
Hôm nay Hà Tiên có mưa không?,,Hà Tiên,dates,2026-09-16,2026-09-16,,basic
TPHCM tuần này có mưa nhiều không?,ho-chi-minh,,dates,2026-09-16,2026-09-20,,basic
Khoảng 3 ngày tới Đà Nẵng có mưa không?,da-nang,,dates,2026-09-17,2026-09-19,,basic
Tháng mười hai ở Sa Pa có băng giá không?,sa-pa,,months,2026-12-01,2026-12-31,,basic
cuoi tuan nay vung tau co mua khong,vung-tau,,dates,2026-09-19,2026-09-20,,basic
Mùa này đi Phú Quốc có hợp không?,phu-quoc,,months,2026-09-01,2026-11-30,travel,basic
"Sang tháng sau tôi muốn đi du lịch, tỉnh nào có thời tiết phù hợp nhất?",,,months,2026-10-01,2026-10-31,travel,basic
Tháng mấy đi Đà Lạt là đẹp nhất?,da-lat,,best_time,,,travel,basic
Cuối tuần này đi Vũng Tàu chơi được không?,vung-tau,,dates,2026-09-19,2026-09-20,travel,basic
Tuần sau đi Hội An tham quan có bị mưa không?,hoi-an,,dates,2026-09-21,2026-09-27,travel,basic
Khi nào nên đi du lịch Sa Pa?,sa-pa,,best_time,,,travel,basic
Tháng 10 đi Huế có ổn không?,hue,,months,2026-10-01,2026-10-31,travel,basic
thang 12 di da lat choi co lanh lam khong,da-lat,,months,2026-12-01,2026-12-31,travel,basic
"Năm sau tôi muốn đi nghỉ dưỡng ở Nha Trang, nên đi tháng nào?",nha-trang,,best_time,2027-01-01,2027-12-31,travel,basic
Mùa hè đi Quảng Bình khám phá hang động có hợp không?,quang-binh,,months,2027-05-01,2027-07-31,travel,basic
Đi phượt Hà Giang tháng mấy đẹp?,ha-giang,,best_time,,,travel,basic
"Mình định đi Mũi Né tháng sau, thời tiết có ổn không?",,Mũi Né,months,2026-10-01,2026-10-31,travel,basic
Du lịch Cát Bà vào tháng 7 thế nào?,,Cát Bà,months,2027-07-01,2027-07-31,travel,basic
Tuần trăng mật ở Phú Quốc tháng 11 có đẹp không?,phu-quoc,,months,2026-11-01,2026-11-30,travel,basic
Cuối tuần sau đi Tam Đảo có lạnh không?,tam-dao,,dates,2026-09-26,2026-09-27,travel,basic
Đi Mộc Châu mùa nào đẹp nhất?,moc-chau,,best_time,,,travel,basic
Bây giờ đi Ninh Bình tham quan có nắng quá không?,ninh-binh,,now,,,travel,basic
Mùa xuân đi Điện Biên ngắm hoa ban có hợp không?,dien-bien,,months,2027-02-01,2027-04-30,travel,basic
Tháng 3 đi Buôn Ma Thuột được không?,buon-ma-thuot,,months,2027-03-01,2027-03-31,travel,basic
ĐL tháng này đi chơi được không?,da-lat,,months,2026-09-01,2026-09-30,travel,basic
Đi Phú Quốc có hợp không?,phu-quoc,,,,,travel,basic
Đám cưới tháng mấy thì đẹp nhất?,,,best_time,,,wedding,basic
"Năm sau tôi tổ chức đám cưới ở TP.HCM, khoảng thời gian nào tốt nhất?",ho-chi-minh,,best_time,2027-01-01,2027-12-31,wedding,basic
Tổ chức tiệc cưới ngoài trời ở Đà Nẵng vào tháng 12 có ổn không?,da-nang,,months,2026-12-01,2026-12-31,wedding,basic
Tháng 11 cưới ở Hà Nội có bị mưa không?,ha-noi,,months,2026-11-01,2026-11-30,wedding,basic
Lễ ăn hỏi ở Nam Định tuần sau có mưa không?,nam-dinh,,dates,2026-09-21,2026-09-27,wedding,basic
Nên chọn tháng nào để làm đám cưới ở Cần Thơ?,can-tho,,best_time,,,wedding,basic
Rước dâu vào ngày mai ở Thái Bình có bị mưa không?,thai-binh,,dates,2026-09-17,2026-09-17,wedding,basic
dam cuoi o ha noi thang 10 co dep khong,ha-noi,,months,2026-10-01,2026-10-31,wedding,basic
Tiệc cưới sân vườn cuối tuần này ở Biên Hòa có ổn không?,bien-hoa,,dates,2026-09-19,2026-09-20,wedding,basic
Kết hôn vào mùa thu ở Hà Nội có đẹp không?,ha-noi,,months,2026-08-01,2026-10-31,wedding,basic
Đám hỏi tháng sau ở Huế liệu có mưa to không?,hue,,months,2026-10-01,2026-10-31,wedding,basic
"Tôi muốn cưới ở Hạ Long vào tháng 5, thời tiết thế nào?",,Hạ Long,months,2027-05-01,2027-05-31,wedding,basic
Tổ chức lễ cưới vào 20/10 ở Hải Dương được không?,hai-duong,,dates,2026-10-20,2026-10-20,wedding,basic
Mùa này làm đám cưới có bị mưa nhiều không?,,,months,2026-09-01,2026-11-30,wedding,basic
Sáng mai chạy bộ ở Hà Nội được không?,ha-noi,,dates,2026-09-17,2026-09-17,running,basic
Hôm nay có nên đi chạy bộ ở công viên không?,,,dates,2026-09-16,2026-09-16,running,basic
Tuần sau ngày nào chạy bộ ở Đà Nẵng hợp nhất?,da-nang,,best_time,2026-09-21,2026-09-27,running,basic
Tháng 12 chạy marathon ở Đà Lạt có lạnh quá không?,da-lat,,months,2026-12-01,2026-12-31,running,basic
Lúc này ra ngoài chạy bộ ở Sài Gòn có nóng không?,ho-chi-minh,,now,,,running,basic
Cuối tuần đạp xe ở Ninh Bình có mưa không?,ninh-binh,,dates,2026-09-19,2026-09-20,running,basic
chieu nay chay bo o hue duoc khong,hue,,dates,2026-09-16,2026-09-16,running,basic
Mấy ngày tới đi bộ tập thể dục buổi sáng ở Vinh được không?,vinh,,dates,2026-09-17,2026-09-19,running,basic
Tháng mấy chạy giải ở Quy Nhơn là mát nhất?,quy-nhon,,best_time,,,running,basic
Bây giờ đá bóng ngoài trời có ổn không?,,,now,,,running,basic
Tháng 3 chạy trail ở Sa Pa có hợp không?,sa-pa,,months,2027-03-01,2027-03-31,running,basic
Sáng nay tập thể dục ngoài trời ở Hải Phòng có ổn không?,hai-phong,,dates,2026-09-16,2026-09-16,running,basic
Mai lên Tam Đảo săn mây được không?,tam-dao,,dates,2026-09-17,2026-09-17,photography,basic
Chụp ảnh hoàng hôn ở Phú Quốc tháng nào đẹp nhất?,phu-quoc,,best_time,,,photography,basic
Chiều nay chụp hình ngoài trời ở Hội An có bị mưa không?,hoi-an,,dates,2026-09-16,2026-09-16,photography,basic
Tháng 11 đi Mộc Châu chụp ảnh hoa cải được không?,moc-chau,,months,2026-11-01,2026-11-30,photography,basic
Cuối tuần này bay flycam ở Ninh Thuận có gió to không?,ninh-thuan,,dates,2026-09-19,2026-09-20,photography,basic
Săn mây ở Đà Lạt vào mùa nào?,da-lat,,best_time,,,photography,basic
Ngắm bình minh ở Quy Nhơn sáng mai có đẹp không?,quy-nhon,,dates,2026-09-17,2026-09-17,photography,basic
Quay phim ngoài trời ở Sài Gòn tuần sau có mưa nhiều không?,ho-chi-minh,,dates,2026-09-21,2026-09-27,photography,basic
"Tôi muốn chụp ảnh ruộng bậc thang ở Mù Cang Chải, tháng mấy đẹp?",,Mù Cang Chải,best_time,,,photography,basic
Lúc này chụp ảnh ngoài trời ở Hà Nội có đủ nắng không?,ha-noi,,now,,,photography,basic
Chụp ảnh kỷ yếu ở Cần Thơ vào tháng sau có ổn không?,can-tho,,months,2026-10-01,2026-10-31,photography,basic
Ngay bây giờ có nên đi chụp ảnh ngoài trời không?,,,now,,,photography,basic
Tối nay ngồi cà phê ngoài trời ở Đà Lạt có lạnh không?,da-lat,,dates,2026-09-16,2026-09-16,coffee,basic
Lúc này ngồi cafe vỉa hè ở Hà Nội được không?,ha-noi,,now,,,coffee,basic
Chiều mai uống cà phê sân thượng ở Sài Gòn có mưa không?,ho-chi-minh,,dates,2026-09-17,2026-09-17,coffee,basic
Cuối tuần này đi cafe ngoài trời ở Đà Nẵng có nóng không?,da-nang,,dates,2026-09-19,2026-09-20,coffee,basic
ngoi quan cafe via he o hn luc nay co mua khong,ha-noi,,now,,,coffee,basic
Tháng mấy ngồi cà phê ngắm phố ở Hội An dễ chịu nhất?,hoi-an,,best_time,,,coffee,basic
Sáng mai ngồi uống trà đá vỉa hè ở Hải Phòng được không?,hai-phong,,dates,2026-09-17,2026-09-17,coffee,basic
Hôm nay ra quán cà phê ven hồ ở Buôn Ma Thuột có mát không?,buon-ma-thuot,,dates,2026-09-16,2026-09-16,coffee,basic
Bây giờ ngồi cà phê ngoài trời có bị nắng gắt không?,,,now,,,coffee,basic
Tuần sau đi cafe ở Bảo Lộc có mưa không?,bao-loc,,dates,2026-09-21,2026-09-27,coffee,basic
Hôm nay phơi quần áo ở Hà Nội có khô không?,ha-noi,,dates,2026-09-16,2026-09-16,drying,basic
Mai có nên giặt chăn đem phơi không?,,,dates,2026-09-17,2026-09-17,drying,basic
Lúc này phơi đồ ngoài trời có bị mưa không?,,,now,,,drying,basic
Tuần sau ngày nào phơi đồ ở Sài Gòn khô nhất?,ho-chi-minh,,best_time,2026-09-21,2026-09-27,drying,basic
phoi do o hue hom nay duoc khong,hue,,dates,2026-09-16,2026-09-16,drying,basic
Cuối tuần này phơi chăn màn ở Nam Định có đủ nắng không?,nam-dinh,,dates,2026-09-19,2026-09-20,drying,basic
"Tháng 3 ở Hà Nội nồm ẩm, phơi quần áo có khô không?",ha-noi,,months,2027-03-01,2027-03-31,drying,basic
Chiều nay phơi thóc ở Thái Bình được không?,thai-binh,,dates,2026-09-16,2026-09-16,drying,basic
Mấy ngày tới phơi cà phê ở Đắk Lắk có nắng không?,dak-lak,,dates,2026-09-17,2026-09-19,drying,basic
Bây giờ đem đồ ra phơi có kịp khô không?,,,now,,,drying,basic
Ngày mai ở Cà Mau phơi đồ được không?,ca-mau,,dates,2026-09-17,2026-09-17,drying,basic
Cuối tuần này tắm biển ở Vũng Tàu được không?,vung-tau,,dates,2026-09-19,2026-09-20,beach,basic
Tháng mấy tắm biển ở Nha Trang là đẹp nhất?,nha-trang,,best_time,,,beach,basic
Tháng 12 đi biển Quy Nhơn có lạnh không?,quy-nhon,,months,2026-12-01,2026-12-31,beach,basic
Ngày mai lặn biển ở Phú Quốc có sóng to không?,phu-quoc,,dates,2026-09-17,2026-09-17,beach,basic
tam bien o da nang thang 10 con duoc khong,da-nang,,months,2026-10-01,2026-10-31,beach,basic
Hôm nay bơi ở biển Sầm Sơn có an toàn không?,,Sầm Sơn,dates,2026-09-16,2026-09-16,beach,basic
Lúc này đi tắm biển ở Mũi Né có nắng gắt không?,,Mũi Né,now,,,beach,basic
Tuần sau đi biển Cửa Lò được không?,,Cửa Lò,dates,2026-09-21,2026-09-27,beach,basic
Mùa hè tắm biển ở Đà Nẵng có đông không?,da-nang,,months,2027-05-01,2027-07-31,beach,basic
Lướt sóng ở Phan Thiết tháng mấy gió tốt nhất?,phan-thiet,,best_time,,,beach,basic
Bây giờ ra biển Nha Trang bơi được không?,nha-trang,,now,,,beach,basic
Cuối tuần này cắm trại ở Đà Lạt có mưa không?,da-lat,,dates,2026-09-19,2026-09-20,camping,basic
Tháng mấy leo núi Fansipan đẹp nhất?,,Fansipan,best_time,,,camping,basic
Đi dã ngoại ở Ba Vì tuần sau có ổn không?,,Ba Vì,dates,2026-09-21,2026-09-27,camping,basic
Tuần sau đi picnic ở Tây Ninh có nóng không?,tay-ninh,,dates,2026-09-21,2026-09-27,camping,basic
cam trai o moc chau thang 12 co lanh khong,moc-chau,,months,2026-12-01,2026-12-31,camping,basic
Mùa này đi trekking Tà Xùa có hợp không?,,Tà Xùa,months,2026-09-01,2026-11-30,camping,basic
Ngày mai cắm trại qua đêm ở Tam Đảo được không?,tam-dao,,dates,2026-09-17,2026-09-17,camping,basic
Leo núi Bà Đen ở Tây Ninh vào tháng 1 có nóng không?,tay-ninh,,months,2027-01-01,2027-01-31,camping,basic
Glamping ở Mộc Châu mùa đông có lạnh quá không?,moc-chau,,months,2026-11-01,2027-01-31,camping,basic
Tháng sau đi cắm trại ven hồ ở Lâm Đồng được không?,lam-dong,,months,2026-10-01,2026-10-31,camping,basic
Sáng mai đi dã ngoại ở Củ Chi có mưa không?,cu-chi,,dates,2026-09-17,2026-09-17,camping,basic
"Nhà mình định tổ chức hỷ sự ngoài trời ở Đà Nẵng vào tháng 12, có ổn không?",da-nang,,months,2026-12-01,2026-12-31,wedding,paraphrase
"Con gái tôi lên xe hoa tháng sau ở Huế, trời có mưa không?",hue,,months,2026-10-01,2026-10-31,wedding,paraphrase
Tổ chức hôn lễ ở Nha Trang tháng mấy là đẹp nhất?,nha-trang,,best_time,,,wedding,paraphrase
Đãi tiệc báo hỷ ở Cần Thơ cuối tuần này có mưa không?,can-tho,,dates,2026-09-19,2026-09-20,wedding,paraphrase
Sáng mai đi jogging quanh hồ ở Hà Nội được không?,ha-noi,,dates,2026-09-17,2026-09-17,running,paraphrase
Chiều nay đánh tennis ở Sài Gòn có nóng quá không?,ho-chi-minh,,dates,2026-09-16,2026-09-16,running,paraphrase
Tuần sau chơi pickleball ngoài trời ở Đà Nẵng có mưa không?,da-nang,,dates,2026-09-21,2026-09-27,running,paraphrase
Hôm nay đá banh ở Cần Thơ được không?,can-tho,,dates,2026-09-16,2026-09-16,running,paraphrase
Chiều nay ra đồi chè ở Bảo Lộc chụp choẹt có đẹp không?,bao-loc,,dates,2026-09-16,2026-09-16,photography,paraphrase
Tháng mấy ngắm mây ở Đà Lạt đẹp nhất?,da-lat,,best_time,,,photography,paraphrase
Tuần sau đi pose hình ở Hội An có mưa không?,hoi-an,,dates,2026-09-21,2026-09-27,photography,paraphrase
Tối nay ra quán cóc vỉa hè ở Hà Nội có lạnh không?,ha-noi,,dates,2026-09-16,2026-09-16,coffee,paraphrase
Chiều mai hẹn bạn nhâm nhi ly bạc xỉu ngoài trời ở Sài Gòn có mưa không?,ho-chi-minh,,dates,2026-09-17,2026-09-17,coffee,paraphrase
Lúc này ngồi ban công uống trà ở Đà Lạt có lạnh không?,da-lat,,now,,,coffee,paraphrase
Hôm nay giặt mùng mền ở Cần Thơ có khô kịp không?,can-tho,,dates,2026-09-16,2026-09-16,drying,paraphrase
Mai hong đồ ngoài sân ở Huế được không?,hue,,dates,2026-09-17,2026-09-17,drying,paraphrase
Chiều nay đem lúa ra sân ở Thái Bình được không?,thai-binh,,dates,2026-09-16,2026-09-16,drying,paraphrase
Cuối tuần này xuống Vũng Tàu nghịch nước được không?,vung-tau,,dates,2026-09-19,2026-09-20,beach,paraphrase
Ngày mai chèo SUP ở Phú Quốc có sóng không?,phu-quoc,,dates,2026-09-17,2026-09-17,beach,paraphrase
Hôm nay nhảy sóng ở Đà Nẵng có an toàn không?,da-nang,,dates,2026-09-16,2026-09-16,beach,paraphrase
Cuối tuần này đi cắm lều ở Đà Lạt có mưa không?,da-lat,,dates,2026-09-19,2026-09-20,camping,paraphrase
Mai đi nướng BBQ ngoài trời ở Củ Chi được không?,cu-chi,,dates,2026-09-17,2026-09-17,camping,paraphrase
Tháng mấy ghé Hội An là đẹp nhất?,hoi-an,,best_time,,,travel,paraphrase
Tháng 12 đưa bố mẹ ra Hạ Long chơi có lạnh không?,,Hạ Long,months,2026-12-01,2026-12-31,travel,paraphrase
Mùa này ghé Đà Lạt có đẹp không?,da-lat,,months,2026-09-01,2026-11-30,travel,paraphrase
Ngày mai Đà Nẵng có cần mang ô không?,da-nang,,dates,2026-09-17,2026-09-17,,paraphrase
Tháng sau ra đảo ngọc chơi có mưa nhiều không?,phu-quoc,,months,2026-10-01,2026-10-31,travel,paraphrase
Thủ đô hôm nay có mưa không?,ha-noi,,dates,2026-09-16,2026-09-16,,paraphrase
Sài Thành cuối tuần này có nắng không?,ho-chi-minh,,dates,2026-09-19,2026-09-20,,paraphrase
Đà Nẳng tuần sau có bão không?,da-nang,,dates,2026-09-21,2026-09-27,,paraphrase
Thành phố ngàn hoa tháng 12 có lạnh không?,da-lat,,months,2026-12-01,2026-12-31,,paraphrase
Cuối tuần sau cả nhà muốn đi trốn nóng ở đâu?,,,dates,2026-09-26,2026-09-27,travel,paraphrase
Tháng 10 vi vu Côn Đảo có ổn không?,,Côn Đảo,months,2026-10-01,2026-10-31,travel,paraphrase
