question,location_slug,location_text,time_kind,time_start,time_end,activity_id,intent,group
Săn mây ở Đà Lạt vào mùa nào?,da-lat,,best_time,,,photography,find_time,basic
Ngắm bình minh ở Quy Nhơn sáng mai có đẹp không?,quy-nhon,,dates,2026-09-17,2026-09-17,photography,find_time,basic
Quay phim ngoài trời ở Sài Gòn tuần sau có mưa nhiều không?,ho-chi-minh,,dates,2026-09-21,2026-09-27,photography,find_time,basic
"Tôi muốn chụp ảnh ruộng bậc thang ở Mù Cang Chải, tháng mấy đẹp?",,Mù Cang Chải,best_time,,,photography,find_time,basic
Lúc này chụp ảnh ngoài trời ở Hà Nội có đủ nắng không?,ha-noi,,now,,,photography,find_time,basic
Chụp ảnh kỷ yếu ở Cần Thơ vào tháng sau có ổn không?,can-tho,,months,2026-10-01,2026-10-31,photography,find_time,basic
Ngay bây giờ có nên đi chụp ảnh ngoài trời không?,,,now,,,photography,find_time,basic
Tối nay ngồi cà phê ngoài trời ở Đà Lạt có lạnh không?,da-lat,,dates,2026-09-16,2026-09-16,coffee,find_time,basic
Lúc này ngồi cafe vỉa hè ở Hà Nội được không?,ha-noi,,now,,,coffee,find_time,basic
Chiều mai uống cà phê sân thượng ở Sài Gòn có mưa không?,ho-chi-minh,,dates,2026-09-17,2026-09-17,coffee,find_time,basic
Cuối tuần này đi cafe ngoài trời ở Đà Nẵng có nóng không?,da-nang,,dates,2026-09-19,2026-09-20,coffee,find_time,basic
ngoi quan cafe via he o hn luc nay co mua khong,ha-noi,,now,,,coffee,find_time,basic
Tháng mấy ngồi cà phê ngắm phố ở Hội An dễ chịu nhất?,hoi-an,,best_time,,,coffee,find_time,basic
Sáng mai ngồi uống trà đá vỉa hè ở Hải Phòng được không?,hai-phong,,dates,2026-09-17,2026-09-17,coffee,find_time,basic
Hôm nay ra quán cà phê ven hồ ở Buôn Ma Thuột có mát không?,buon-ma-thuot,,dates,2026-09-16,2026-09-16,coffee,find_time,basic
Bây giờ ngồi cà phê ngoài trời có bị nắng gắt không?,,,now,,,coffee,find_time,basic
Tuần sau đi cafe ở Bảo Lộc có mưa không?,bao-loc,,dates,2026-09-21,2026-09-27,coffee,find_time,basic
Hôm nay phơi quần áo ở Hà Nội có khô không?,ha-noi,,dates,2026-09-16,2026-09-16,drying,find_time,basic
Mai có nên giặt chăn đem phơi không?,,,dates,2026-09-17,2026-09-17,drying,find_time,basic
Lúc này phơi đồ ngoài trời có bị mưa không?,,,now,,,drying,find_time,basic
Tuần sau ngày nào phơi đồ ở Sài Gòn khô nhất?,ho-chi-minh,,best_time,2026-09-21,2026-09-27,drying,find_time,basic
phoi do o hue hom nay duoc khong,hue,,dates,2026-09-16,2026-09-16,drying,find_time,basic
Cuối tuần này phơi chăn màn ở Nam Định có đủ nắng không?,nam-dinh,,dates,2026-09-19,2026-09-20,drying,find_time,basic
"Tháng 3 ở Hà Nội nồm ẩm, phơi quần áo có khô không?",ha-noi,,months,2027-03-01,2027-03-31,drying,find_time,basic
Chiều nay phơi thóc ở Thái Bình được không?,thai-binh,,dates,2026-09-16,2026-09-16,drying,find_time,basic
Mấy ngày tới phơi cà phê ở Đắk Lắk có nắng không?,dak-lak,,dates,2026-09-17,2026-09-19,drying,find_time,basic
Bây giờ đem đồ ra phơi có kịp khô không?,,,now,,,drying,find_time,basic
Ngày mai ở Cà Mau phơi đồ được không?,ca-mau,,dates,2026-09-17,2026-09-17,drying,find_time,basic
Cuối tuần này tắm biển ở Vũng Tàu được không?,vung-tau,,dates,2026-09-19,2026-09-20,beach,find_time,basic
Tháng mấy tắm biển ở Nha Trang là đẹp nhất?,nha-trang,,best_time,,,beach,find_time,basic
Tháng 12 đi biển Quy Nhơn có lạnh không?,quy-nhon,,months,2026-12-01,2026-12-31,beach,find_time,basic
Ngày mai lặn biển ở Phú Quốc có sóng to không?,phu-quoc,,dates,2026-09-17,2026-09-17,beach,find_time,basic
tam bien o da nang thang 10 con duoc khong,da-nang,,months,2026-10-01,2026-10-31,beach,find_time,basic
Hôm nay bơi ở biển Sầm Sơn có an toàn không?,,Sầm Sơn,dates,2026-09-16,2026-09-16,beach,find_time,basic
Lúc này đi tắm biển ở Mũi Né có nắng gắt không?,,Mũi Né,now,,,beach,find_time,basic
Tuần sau đi biển Cửa Lò được không?,,Cửa Lò,dates,2026-09-21,2026-09-27,beach,find_time,basic
Mùa hè tắm biển ở Đà Nẵng có đông không?,da-nang,,months,2027-05-01,2027-07-31,beach,find_time,basic
Lướt sóng ở Phan Thiết tháng mấy gió tốt nhất?,phan-thiet,,best_time,,,beach,find_time,basic
Bây giờ ra biển Nha Trang bơi được không?,nha-trang,,now,,,beach,find_time,basic
Cuối tuần này cắm trại ở Đà Lạt có mưa không?,da-lat,,dates,2026-09-19,2026-09-20,camping,find_time,basic
Tháng mấy leo núi Fansipan đẹp nhất?,,Fansipan,best_time,,,camping,find_time,basic
Đi dã ngoại ở Ba Vì tuần sau có ổn không?,,Ba Vì,dates,2026-09-21,2026-09-27,camping,find_time,basic
Tuần sau đi picnic ở Tây Ninh có nóng không?,tay-ninh,,dates,2026-09-21,2026-09-27,camping,find_time,basic
cam trai o moc chau thang 12 co lanh khong,moc-chau,,months,2026-12-01,2026-12-31,camping,find_time,basic
Mùa này đi trekking Tà Xùa có hợp không?,,Tà Xùa,months,2026-09-01,2026-11-30,camping,find_time,basic
Ngày mai cắm trại qua đêm ở Tam Đảo được không?,tam-dao,,dates,2026-09-17,2026-09-17,camping,find_time,basic
Leo núi Bà Đen ở Tây Ninh vào tháng 1 có nóng không?,tay-ninh,,months,2027-01-01,2027-01-31,camping,find_time,basic
Glamping ở Mộc Châu mùa đông có lạnh quá không?,moc-chau,,months,2026-11-01,2027-01-31,camping,find_time,basic
Tháng sau đi cắm trại ven hồ ở Lâm Đồng được không?,lam-dong,,months,2026-10-01,2026-10-31,camping,find_time,basic
Sáng mai đi dã ngoại ở Củ Chi có mưa không?,cu-chi,,dates,2026-09-17,2026-09-17,camping,find_time,basic
"Nhà mình định tổ chức hỷ sự ngoài trời ở Đà Nẵng vào tháng 12, có ổn không?",da-nang,,months,2026-12-01,2026-12-31,wedding,find_time,paraphrase
"Con gái tôi lên xe hoa tháng sau ở Huế, trời có mưa không?",hue,,months,2026-10-01,2026-10-31,wedding,find_time,paraphrase
Tổ chức hôn lễ ở Nha Trang tháng mấy là đẹp nhất?,nha-trang,,best_time,,,wedding,find_time,paraphrase
Đãi tiệc báo hỷ ở Cần Thơ cuối tuần này có mưa không?,can-tho,,dates,2026-09-19,2026-09-20,wedding,find_time,paraphrase
Sáng mai đi jogging quanh hồ ở Hà Nội được không?,ha-noi,,dates,2026-09-17,2026-09-17,running,find_time,paraphrase
Chiều nay đánh tennis ở Sài Gòn có nóng quá không?,ho-chi-minh,,dates,2026-09-16,2026-09-16,running,find_time,paraphrase
Tuần sau chơi pickleball ngoài trời ở Đà Nẵng có mưa không?,da-nang,,dates,2026-09-21,2026-09-27,running,find_time,paraphrase
Hôm nay đá banh ở Cần Thơ được không?,can-tho,,dates,2026-09-16,2026-09-16,running,find_time,paraphrase
Chiều nay ra đồi chè ở Bảo Lộc chụp choẹt có đẹp không?,bao-loc,,dates,2026-09-16,2026-09-16,photography,find_time,paraphrase
Tháng mấy ngắm mây ở Đà Lạt đẹp nhất?,da-lat,,best_time,,,photography,find_time,paraphrase
Tuần sau đi pose hình ở Hội An có mưa không?,hoi-an,,dates,2026-09-21,2026-09-27,photography,find_time,paraphrase
Tối nay ra quán cóc vỉa hè ở Hà Nội có lạnh không?,ha-noi,,dates,2026-09-16,2026-09-16,coffee,find_time,paraphrase
Chiều mai hẹn bạn nhâm nhi ly bạc xỉu ngoài trời ở Sài Gòn có mưa không?,ho-chi-minh,,dates,2026-09-17,2026-09-17,coffee,find_time,paraphrase
Lúc này ngồi ban công uống trà ở Đà Lạt có lạnh không?,da-lat,,now,,,coffee,find_time,paraphrase
Hôm nay giặt mùng mền ở Cần Thơ có khô kịp không?,can-tho,,dates,2026-09-16,2026-09-16,drying,find_time,paraphrase
Mai hong đồ ngoài sân ở Huế được không?,hue,,dates,2026-09-17,2026-09-17,drying,find_time,paraphrase
Chiều nay đem lúa ra sân ở Thái Bình được không?,thai-binh,,dates,2026-09-16,2026-09-16,drying,find_time,paraphrase
Cuối tuần này xuống Vũng Tàu nghịch nước được không?,vung-tau,,dates,2026-09-19,2026-09-20,beach,find_time,paraphrase
Ngày mai chèo SUP ở Phú Quốc có sóng không?,phu-quoc,,dates,2026-09-17,2026-09-17,beach,find_time,paraphrase
Hôm nay nhảy sóng ở Đà Nẵng có an toàn không?,da-nang,,dates,2026-09-16,2026-09-16,beach,find_time,paraphrase
Cuối tuần này đi cắm lều ở Đà Lạt có mưa không?,da-lat,,dates,2026-09-19,2026-09-20,camping,find_time,paraphrase
Mai đi nướng BBQ ngoài trời ở Củ Chi được không?,cu-chi,,dates,2026-09-17,2026-09-17,camping,find_time,paraphrase
Tháng mấy ghé Hội An là đẹp nhất?,hoi-an,,best_time,,,travel,find_time,paraphrase
Tháng 12 đưa bố mẹ ra Hạ Long chơi có lạnh không?,,Hạ Long,months,2026-12-01,2026-12-31,travel,find_time,paraphrase
Mùa này ghé Đà Lạt có đẹp không?,da-lat,,months,2026-09-01,2026-11-30,travel,find_time,paraphrase
Ngày mai Đà Nẵng có cần mang ô không?,da-nang,,dates,2026-09-17,2026-09-17,,find_time,paraphrase
Tháng sau ra đảo ngọc chơi có mưa nhiều không?,phu-quoc,,months,2026-10-01,2026-10-31,travel,find_time,paraphrase
Thủ đô hôm nay có mưa không?,ha-noi,,dates,2026-09-16,2026-09-16,,find_time,paraphrase
Sài Thành cuối tuần này có nắng không?,ho-chi-minh,,dates,2026-09-19,2026-09-20,,find_time,paraphrase
Đà Nẳng tuần sau có bão không?,da-nang,,dates,2026-09-21,2026-09-27,,find_time,paraphrase
Thành phố ngàn hoa tháng 12 có lạnh không?,da-lat,,months,2026-12-01,2026-12-31,,find_time,paraphrase
Cuối tuần sau cả nhà muốn đi trốn nóng ở đâu?,,,dates,2026-09-26,2026-09-27,travel,find_place,paraphrase
Tháng 10 vi vu Côn Đảo có ổn không?,,Côn Đảo,months,2026-10-01,2026-10-31,travel,find_time,paraphrase
Tháng 12 đi biển ở đâu?,,,months,2026-12-01,2026-12-31,beach,find_place,place
thang 11 di dau choi cho dep,,,months,2026-11-01,2026-11-30,travel,find_place,place
Mùa đông nên đi cắm trại chỗ nào?,,,months,2026-11-01,2027-01-31,camping,find_place,place
Tuần sau chạy bộ ở nơi nào mát nhất?,,,dates,2026-09-21,2026-09-27,running,find_place,place
Thành phố nào hợp tổ chức đám cưới vào tháng 1?,,,months,2027-01-01,2027-01-31,wedding,find_place,place
Tháng sau về đâu chụp ảnh đẹp?,,,months,2026-10-01,2026-10-31,photography,find_place,place
Cuối tuần này đi đâu tắm biển được?,,,dates,2026-09-19,2026-09-20,beach,find_place,place
Tháng 2 vùng nào đi du lịch đẹp nhất?,,,months,2027-02-01,2027-02-28,travel,find_place,place
Gợi ý vài điểm du lịch mát mẻ cho tháng 6,,,months,2027-06-01,2027-06-30,travel,find_place,place
Tháng 1 muốn đi du lịch trốn rét thì nên bay về phương nào?,,,months,2027-01-01,2027-01-31,travel,find_place,place
Đề xuất giúp mình nơi tắm biển đẹp trong tháng 5,,,months,2027-05-01,2027-05-31,beach,find_place,place
"Tháng sau cả nhà muốn đi dã ngoại, có chỗ cắm trại lý tưởng không?",,,months,2026-10-01,2026-10-31,camping,find_place,place
Liệt kê giúp tôi những thành phố hợp chạy marathon vào tháng 12,,,months,2026-12-01,2026-12-31,running,find_place,place
"Tháng 4 được nghỉ dài, cả nhà nên đi chơi hướng nào?",,,months,2027-04-01,2027-04-30,travel,find_place,place
Muốn chụp ảnh cưới ngoài trời tháng 3 thì chọn điểm chụp nào đẹp?,,,months,2027-03-01,2027-03-31,photography,find_place,place
Tháng 11 nên đi biển ở tỉnh nào cho ấm?,,,months,2026-11-01,2026-11-30,beach,find_place,holdout
Cuối tuần này đi cắm trại ở đâu cho mát?,,,dates,2026-09-19,2026-09-20,camping,find_place,holdout
Tháng 4 muốn tổ chức đám cưới ngoài trời thì chọn thành phố nào?,,,months,2027-04-01,2027-04-30,wedding,find_place,holdout
"Tháng 12 muốn đưa bố mẹ đi nghỉ dưỡng, gợi ý giúp tôi vài điểm đến ấm áp",,,months,2026-12-01,2026-12-31,travel,find_place,holdout
"Mùa đông này muốn đi trekking, có nơi lý tưởng nào không?",,,months,2026-11-01,2027-01-31,camping,find_place,holdout
Tìm cho mình vài thành phố ít mưa trong tháng sau để đi chơi,,,months,2026-10-01,2026-10-31,travel,find_place,holdout
Tháng 10 ra Cô Tô chơi có ổn không?,,Cô Tô,months,2026-10-01,2026-10-31,travel,find_time,holdout
Cuối tuần sau lên Tam Cốc chụp hình có mưa không?,,Tam Cốc,dates,2026-09-26,2026-09-27,photography,find_time,holdout
Tháng 3 đi phượt Hà Giang có lạnh không?,ha-giang,,months,2027-03-01,2027-03-31,travel,find_time,holdout
Ngày mai ở Cần Thơ phơi lúa được không?,can-tho,,dates,2026-09-17,2026-09-17,drying,find_time,holdout
Tuần sau chạy bộ quanh hồ Tây buổi sáng có oi không?,,hồ Tây,dates,2026-09-21,2026-09-27,running,find_time,holdout
Hè này về Sầm Sơn tắm biển thì sao?,,Sầm Sơn,months,2027-05-01,2027-07-31,beach,find_time,holdout
